        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.065830402                               0
               0.1316608                               0
               0.1974912                               0
              0.26332161                               0
              0.32915202                               0
               0.3949824                               0
              0.46081281                               0
              0.52664322                               0
              0.59247363                               0
              0.65830404                               0
              0.72413445                               0
               0.7899648                               0
               0.8557952                               0
              0.92162561                               0
              0.98745602                               0
               1.0532864                               0
               1.1191168                               0
               1.1849473                               0
               1.2507776                               0
               1.3166081                               0
               1.3824384                               0
               1.4482689                               0
               1.5140991                               0
               1.5799296                               0
               1.6457599                               0
               1.7115904                               0
               1.7774209                               0
               1.8432512                               0
               1.9090816                               0
                1.974912                               0
               2.0407424                               0
               2.1065729                               0
               2.1724031                               0
               2.2382336                               0
                2.304064                               0
               2.3698945                  4.8035462e-037
               2.4357247                  4.2664028e-035
               2.5015552                  9.1922529e-034
               2.5673857                  1.6554149e-032
               2.6332161                  2.6532739e-031
               2.6990466                  3.8081089e-030
               2.7648768                  4.9154198e-029
               2.8307073                  5.7294345e-028
               2.8965378                  6.0535406e-027
                2.962368                  5.8181727e-026
               3.0281982                  5.1035657e-025
               3.0940287                  4.0983296e-024
               3.1598592                  3.0215657e-023
               3.2256896                  2.0507135e-022
               3.2915199                  1.2843569e-021
               3.3573503                  7.4392432e-021
               3.4231808                  3.9927175e-020
               3.4890113                  1.9888579e-019
               3.5548418                   9.206241e-019
                3.620672                  3.9636286e-018
               3.6865025                  1.5880556e-017
               3.7523327                  5.9222373e-017
               3.8181632                  2.0555234e-016
               3.8839936                  6.6385355e-016
               3.9498241                  1.9944219e-015
               4.0156546                  5.5730736e-015
               4.0814848                  1.4487218e-014
               4.1473155                  3.5059771e-014
               4.2131457                  7.9112945e-014
               4.2789764                  1.6690607e-013
               4.3448062                  3.3058089e-013
               4.4106369                  6.1827052e-013
               4.4764671                  1.1000278e-012
               4.5422978                  1.8780418e-012
               4.6081281                   3.104053e-012
               4.6739588                  5.0051122e-012
                4.739789                  7.9149604e-012
               4.8056192                  1.2304469e-011
               4.8714495                  1.8803712e-011
               4.9372797                  2.8210973e-011
               5.0031104                   4.148842e-011
               5.0689406                  5.9746763e-011
               5.1347713                  8.4221574e-011
               5.2006016                  1.1624185e-010
               5.2664323                  1.5718893e-010
               5.3322625                  2.0844157e-010
               5.3980932                  2.7130284e-010
                5.463923                  3.4690836e-010
               5.5297537                  4.3612147e-010
               5.5955839                  5.3942634e-010
               5.6614146                  6.5683153e-010
               5.7272449                  7.8779572e-010
               5.7930756                  9.3118258e-010
               5.8589058                  1.0852498e-009
                5.924736                  1.2476732e-009
               5.9905667                  1.4156025e-009
               6.0563965                  1.5857383e-009
               6.1222272                  1.7544232e-009
               6.1880574                  1.9177395e-009
               6.2538881                  2.0716107e-009
               6.3197184                  2.2119038e-009
               6.3855491                  2.3345397e-009
               6.4513793                  2.4355971e-009
                 6.51721                  2.5114144e-009
               6.5830398                  2.5586711e-009
               6.6488705                  2.5744573e-009
               6.7147007                  2.5563165e-009
               6.7805314                  2.5022719e-009
               6.8463616                  2.4108324e-009
               6.9121923                   2.280979e-009
               6.9780226                  2.1121318e-009
               7.0438533                  1.9041106e-009
               7.1096835                  1.6570816e-009
               7.1755137                  1.3714972e-009
                7.241344                  1.0480331e-009
               7.3071742                  6.8751765e-010
               7.3730049                  2.9084876e-010
               7.4388351                 -1.4108695e-010
               7.5046654                 -6.0749611e-010
               7.5704961                  -1.107746e-009
               7.6363263                 -1.6414156e-009
                7.702157                 -2.2083262e-009
               7.7679873                 -2.8085536e-009
                7.833818                  -3.442419e-009
               7.8996482                 -4.1104635e-009
               7.9654789                 -4.8134088e-009
               8.0313091                  -5.552109e-009
               8.0971394                 -6.3274892e-009
               8.1629696                 -7.1404829e-009
               8.2287998                 -7.9919529e-009
                8.294631                 -8.8826013e-009
               8.3604612                 -9.8128643e-009
               8.4262915                 -1.0782786e-008
               8.4921217                 -1.1791888e-008
               8.5579529                 -1.2839037e-008
               8.6237822                  -1.392231e-008
               8.6896124                 -1.5038879e-008
               8.7554436                 -1.6184876e-008
               8.8212738                  -1.735534e-008
                8.887104                 -1.8544121e-008
               8.9529343                 -1.9743844e-008
               9.0187654                 -2.0945905e-008
               9.0845957                 -2.2140489e-008
                9.150425                 -2.3316616e-008
               9.2162561                 -2.4462212e-008
