        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
              0.14043736                               0
              0.28087473                               0
              0.42131209                               0
              0.56174946                               0
              0.70218688                               0
              0.84262419                               0
              0.98306161                               0
               1.1234989                               0
               1.2639363                               0
               1.4043738                               0
                1.544811                               0
               1.6852484                               0
               1.8256859                               0
               1.9661232                               0
               2.1065605                               0
               2.2469978                               0
               2.3874354                  1.5558187e-036
               2.5278726                   2.340894e-033
               2.6683099                  9.0455767e-031
               2.8087475                  2.1365723e-028
               2.9491847                  3.2082588e-026
                3.089622                  3.1681419e-024
               3.2300596                  2.1182432e-022
               3.3704967                  9.8290479e-021
               3.5109341                   3.228236e-019
               3.6513717                   7.606992e-018
               3.7918091                  1.2947537e-016
               3.9322464                  1.5940059e-015
               4.0726833                  1.4198006e-014
               4.2131209                  9.2051631e-014
               4.3535585                  4.4374766e-013
               4.4939957                  1.6654384e-012
               4.6344333                  5.2190236e-012
               4.7748709                   1.460875e-011
                4.915308                  3.7659511e-011
               5.0557451                  8.9131688e-011
               5.1961827                  1.9216125e-010
               5.3366199                  3.7780984e-010
               5.4770575                  6.8248801e-010
               5.6174951                  1.1421609e-009
               5.7579322                  1.7828453e-009
               5.8983693                  2.6099685e-009
               6.0388069                   3.600843e-009
                6.179244                  4.7030198e-009
               6.3196816                   5.838285e-009
               6.4601192                  6.9104131e-009
               6.6005564                  7.8151361e-009
               6.7409935                  8.4507326e-009
               6.8814311                   8.727147e-009
               7.0218682                  8.5720266e-009
               7.1623058                  7.9330356e-009
               7.3027434                  6.7764927e-009
               7.4431806                  5.0828466e-009
               7.5836182                   2.839659e-009
               7.7240553                  3.3642759e-011
               7.8644929                 -3.3556202e-009
               8.0049305                 -7.3581399e-009
               8.1453667                 -1.2011286e-008
               8.2858047                 -1.7353059e-008
               8.4262419                 -2.3411777e-008
                 8.56668                  -3.019365e-008
               8.7071171                 -3.7670585e-008
               8.8475552                 -4.5770761e-008
               8.9879913                  -5.437315e-008
               9.1284285                 -6.3305848e-008
               9.2688665                 -7.2347468e-008
               9.4093037                 -8.1230638e-008
               9.5497417                  -8.964598e-008
               9.6901789                 -9.7244659e-008
                9.830616                 -1.0363816e-007
               9.9710531                 -1.0839609e-007
                10.11149                 -1.1104364e-007
               10.251928                  -1.110605e-007
               10.392365                 -1.0788381e-007
               10.532804                 -1.0091615e-007
                10.67324                 -8.9540144e-008
               10.813677                 -7.3139319e-008
               10.954115                 -5.1124406e-008
               11.094552                 -2.2963555e-008
                11.23499                  1.1784515e-008
               11.375427                  5.3436299e-008
               11.515864                  1.0215005e-007
               11.656301                  1.5789503e-007
               11.796739                  2.2042335e-007
               11.937177                  2.8924464e-007
               12.077614                  3.6360299e-007
               12.218052                  4.4245482e-007
               12.358488                   5.244479e-007
               12.498926                  6.0790143e-007
               12.639363                  6.9078874e-007
                 12.7798                  7.7072463e-007
               12.920238                  8.4496173e-007
               13.060676                  9.1039715e-007
               13.201113                  9.6359463e-007
                13.34155                  1.0008204e-006
               13.481987                  1.0180993e-006
               13.622425                  1.0112864e-006
               13.762862                  9.7615907e-007
                 13.9033                  9.0852421e-007
               14.043736                  8.0434233e-007
               14.184175                  6.5986671e-007
               14.324612                  4.7179438e-007
               14.465049                   2.374295e-007
               14.605487                 -4.5144795e-008
               14.745924                 -3.7688619e-007
               14.886361                 -7.5760875e-007
               15.026799                 -1.1857956e-006
               15.167236                 -1.6584162e-006
               15.307673                 -2.1707515e-006
               15.448111                 -2.7162375e-006
               15.588548                 -3.2863318e-006
               15.728986                 -3.8704197e-006
               15.869423                 -4.4557564e-006
               16.009861                  -5.027468e-006
               16.150297                 -5.5686028e-006
               16.290733                 -6.0602606e-006
               16.431173                 -6.4817759e-006
               16.571609                 -6.8109948e-006
               16.712048                  -7.024621e-006
               16.852484                 -7.0986484e-006
               16.992922                 -7.0088695e-006
                17.13336                 -6.7314813e-006
               17.273796                 -6.2437525e-006
               17.414234                 -5.5247751e-006
                17.55467                 -4.5562761e-006
                17.69511                 -3.3234853e-006
               17.835546                 -1.8160397e-006
               17.975983                  -2.890615e-008
               18.116421                  2.0367017e-006
               18.256857                  4.3724276e-006
               18.397297                  6.9619464e-006
               18.537733                  9.7802213e-006
               18.678169                  1.2792881e-005
               18.818607                  1.5955749e-005
               18.959044                  1.9214576e-005
